Título,Transcrição,Label
Comercial do Creme Monange - +18 - 1996,Eu adoro o - porque ele deixa a pele muito macia. Eu gosto do - porque ele deixa a pele cheirosa. E eu gosto porque ele deixa a pele gostosa. -.,1
COMERCIAL: Monange (1997),"Eu uso -. É o - que deixa a minha pele assim, macia, suave, gostosa. E agora - tem novos perfumes, e essa nova embalagem. Sensacional.",1
Comercial - Floratta Cerejeira O Boticário,Chegaram as novas fragrâncias de -. Inspiradas na tradição oriental da flor de cerejeira.,1
Chegou Floratta Love Flower - O Boticário,"Dizem que um dos jeitos mais românticos de declarar o amor é colocar um verso nas pétalas de uma flor do Caribe. Eu falei ""um dos"". O momento perfeito quem cria é você. Arrisque-se no amor. Novo -.",1
Comercial Monange com Xuxa,"O - deixa a pele macia, cheirosa, gostosa, e, principalmente hidratada. Se você também quer ter uma pele bonita e bem tratada como a nossa, use -.",1
Elysée Nuit O Boticário. Revele-se.,"Das flores colhidas antes do amanhecer, quando estão mais perfumadas, criamos o -. Revele o seu lado mais ousado.",1
Old Spice BR | Na luta contra o mau cheiro? Use Old Spice Cabra Macho,"Com o poderoso -, encontrei a proteção contra o suor e mal cheiro para me tornar um homem legendário, e assim, vencer as barreiras entre o homem e o animal.",0
Novo Natura Homem Tato,"Descubra a força de sentir-se bem na própria pele com a nova linha de cuidados pessoais e perfumaria, -.",0
Natura Homem Elo. Seu elo com o bem-estar.,"Novo -. - refrescante, cabelo e barba. - multifuncional, pré e pós barba. Fragrância amadeirada com frescor intenso. Seu elo com o bem estar.",0
Perfume Denim  - Propaganda em HD - Anos 80,"Toda emoção em busca de aventura. -, agreste, refrescante.-, siga seu instinto.",0
CLEAR 3X AÇÃO ANTICASPA,"O foco te faz vencer desafios. Para vencer a caspa, a oleosidade e a coceira, use -, com três vezes ação anticaspa. Para cabelos limpos o dia todo. Encontre o poder em sua melhor versão.",0
Sinta a potência do frescor de Kaiak,"Eu prometo te amar, respeitar, cuidar de você. Prometo te seguir, sentir sua energia. Prometo levar você em mim, todos os dias. Sinta a potência do frescor de -, agora em nova embalagem, feita com plástico retirado do litoral.",0